tai01;tai02;tai03;tai04;tai05;tai06;tai07;tai08;tai09;tai10;tai11;tai12;tai13;tai14;tai15;tai16;tai17;tai18;tai19;tai20;tai21;tai22;tai23;tai24;tai25;tai26;tai27;tai28;tai29;tai30;tai31;tai32;tai33;tai34;tai35;tai36;tai37;tai38;tai39;tai40;tai41;tai42;tai43;tai44;tai45;tai46;tai47;tai48;tai49;tai50;tai51;tai52;tai53;tai54;tai55;tai56;tai57;tai58;tai59;tai60
1278;;;;;;;;;;1586;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3087;;;;;;;;;;4059;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3106;;;;;;;;;;4067;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3089;;;;;;;;;;4062;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4055;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2315;;;;;;;;;;2724;;;;;;;;;;3097;;;;;;;;;;4058;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3105;;;;;;;;;;4029;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3110;;;;;;;;;;4057;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3112;;;;;;;;;;4029;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2300;;;;;;;;;;2724;;;;;;;;;;3092;;;;;;;;;;4046;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2306;;;;;;;;;;2724;;;;;;;;;;3093;;;;;;;;;;4063;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3102;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1587;;;;;;;;;;2305;;;;;;;;;;2724;;;;;;;;;;3090;;;;;;;;;;4081;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3090;;;;;;;;;;4064;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2304;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4071;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3111;;;;;;;;;;4078;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3101;;;;;;;;;;4063;;;;;;;;;
1278;;;;;;;;;;1588;;;;;;;;;;2304;;;;;;;;;;2724;;;;;;;;;;3111;;;;;;;;;;4045;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2314;;;;;;;;;;2724;;;;;;;;;;3099;;;;;;;;;;4058;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3101;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2305;;;;;;;;;;2725;;;;;;;;;;3116;;;;;;;;;;4062;;;;;;;;;
1278;;;;;;;;;;1583;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3107;;;;;;;;;;4066;;;;;;;;;
1278;;;;;;;;;;1591;;;;;;;;;;2312;;;;;;;;;;2724;;;;;;;;;;3126;;;;;;;;;;4038;;;;;;;;;
1278;;;;;;;;;;1590;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3108;;;;;;;;;;4082;;;;;;;;;
1278;;;;;;;;;;1586;;;;;;;;;;2309;;;;;;;;;;2724;;;;;;;;;;3090;;;;;;;;;;4047;;;;;;;;;
